numero,nombre,url,attachment_root_items,attachment_items,media_category_terms,post_date,error
2,Canal del Área de Tecnología Educativa,https://www3.gobiernodecanarias.org/medusa/mediateca/ecoescuela,5138,8152,249,2025-04-09 12:48:27,
3,Pruebas CAU_CE,https://www3.gobiernodecanarias.org/medusa/mediateca/pruebas,65,149,11,2025-03-12 11:26:06,
4,Publicaciones de la Consejería,https://www3.gobiernodecanarias.org/medusa/mediateca/publicaciones,1631,2442,345,2023-09-20 10:33:19,
5,Canal del Servicio de Perfeccionamiento del Profesorado,https://www3.gobiernodecanarias.org/medusa/mediateca/perfeccionamiento,1477,2972,155,2025-07-22 12:20:16,
6,Canal del IES Geneto,https://www3.gobiernodecanarias.org/medusa/mediateca/iesgeneto,310,357,88,2020-03-11 18:33:24,
7,Canal del Programa Infancia,https://www3.gobiernodecanarias.org/medusa/mediateca/infancia,46,117,86,2014-06-25 14:00:51,
8,Canal de Educación Ámbiental y Sostenibilidad,https://www3.gobiernodecanarias.org/medusa/mediateca/eas,138,193,92,2025-06-03 11:12:10,
9,Canal del CEP Norte de Tenerife,https://www3.gobiernodecanarias.org/medusa/mediateca/cprofesnortedetenerife,112,196,89,2025-07-09 10:37:02,
10,Canal del CEP Gran Tarajal,https://www3.gobiernodecanarias.org/medusa/mediateca/cprofesgrantarajal,3,6,87,2021-05-27 08:00:41,
11,Canal del centro ADELA,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipadelasantana,3,3,86,2024-12-15 11:11:47,
12,Oficina Medusa,https://www3.gobiernodecanarias.org/medusa/mediateca/otrosoficinamedusadetenerife,1,3,86,2014-10-31 10:34:23,
13,Canal de la Red Canaria de Centros para la Participación Educativa ,https://www3.gobiernodecanarias.org/medusa/mediateca/rccpe,0,0,86,,
14,Canal de la Red Canaria de Escuelas Solidarias,https://www3.gobiernodecanarias.org/medusa/mediateca/rces,0,0,87,,
15,CEP LANZAROTE,https://www3.gobiernodecanarias.org/medusa/mediateca/cprofeslanzarote,3,6,86,2017-05-10 13:14:03,
16,CEPGCSUR,https://www3.gobiernodecanarias.org/medusa/mediateca/cprofesgrancanariasur,124,224,94,2025-06-30 08:50:36,
17,Canal de EVAGD,https://www3.gobiernodecanarias.org/medusa/mediateca/evagd,161,352,88,2025-04-22 06:43:10,
18,Canal Mediateca CEIP Ofra Vistabella,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipofravistabella,3,3,87,2024-02-19 11:41:47,
19,Canal de Informat,https://www3.gobiernodecanarias.org/medusa/mediateca/informat,6,6,86,2014-12-26 22:58:04,
20,CAU_CE,https://www3.gobiernodecanarias.org/medusa/mediateca/cau_ce,6,11,86,2023-11-29 08:42:48,
