numero,nombre,url,attachment_root_items,attachment_items,media_category_terms,error
2,Canal del Área de Tecnología Educativa,https://www3.gobiernodecanarias.org/medusa/mediateca/ecoescuela,5138,8152,249,
3,Pruebas CAU_CE,https://www3.gobiernodecanarias.org/medusa/mediateca/pruebas,65,149,11,
4,Publicaciones de la Consejería,https://www3.gobiernodecanarias.org/medusa/mediateca/publicaciones,1631,2442,345,
5,Canal del Servicio de Perfeccionamiento del Profesorado,https://www3.gobiernodecanarias.org/medusa/mediateca/perfeccionamiento,1477,2972,155,
6,Canal del IES Geneto,https://www3.gobiernodecanarias.org/medusa/mediateca/iesgeneto,310,357,88,
7,Canal del Programa Infancia,https://www3.gobiernodecanarias.org/medusa/mediateca/infancia,46,117,86,
8,Canal de Educación Ámbiental y Sostenibilidad,https://www3.gobiernodecanarias.org/medusa/mediateca/eas,138,193,92,
9,Canal del CEP Norte de Tenerife,https://www3.gobiernodecanarias.org/medusa/mediateca/cprofesnortedetenerife,112,196,89,
10,Canal del CEP Gran Tarajal,https://www3.gobiernodecanarias.org/medusa/mediateca/cprofesgrantarajal,3,6,87,
11,Canal del centro ADELA,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipadelasantana,3,3,86,
12,Oficina Medusa,https://www3.gobiernodecanarias.org/medusa/mediateca/otrosoficinamedusadetenerife,1,3,86,
13,Canal de la Red Canaria de Centros para la Participación Educativa ,https://www3.gobiernodecanarias.org/medusa/mediateca/rccpe,0,0,86,
14,Canal de la Red Canaria de Escuelas Solidarias,https://www3.gobiernodecanarias.org/medusa/mediateca/rces,0,0,87,
15,CEP LANZAROTE,https://www3.gobiernodecanarias.org/medusa/mediateca/cprofeslanzarote,3,6,86,
16,CEPGCSUR,https://www3.gobiernodecanarias.org/medusa/mediateca/cprofesgrancanariasur,124,224,94,
17,Canal de EVAGD,https://www3.gobiernodecanarias.org/medusa/mediateca/evagd,161,352,88,
18,Canal Mediateca CEIP Ofra Vistabella,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipofravistabella,3,3,87,
19,Canal de Informat,https://www3.gobiernodecanarias.org/medusa/mediateca/informat,6,6,86,
