Número,Nombre,URL
2,Canal del Área de Tecnología Educativa,https://www3.gobiernodecanarias.org/medusa/mediateca/ecoescuela
3,Pruebas CAU_CE,https://www3.gobiernodecanarias.org/medusa/mediateca/pruebas
4,Publicaciones de la Consejería,https://www3.gobiernodecanarias.org/medusa/mediateca/publicaciones
5,Canal del Servicio de Perfeccionamiento del Profesorado,https://www3.gobiernodecanarias.org/medusa/mediateca/perfeccionamiento
9,Canal del IES Geneto,https://www3.gobiernodecanarias.org/medusa/mediateca/iesgeneto
12,Canal del Programa Infancia,https://www3.gobiernodecanarias.org/medusa/mediateca/infancia
13,Canal de Educación Ámbiental y Sostenibilidad,https://www3.gobiernodecanarias.org/medusa/mediateca/eas
14,Canal del CEP Norte de Tenerife,https://www3.gobiernodecanarias.org/medusa/mediateca/cprofesnortedetenerife
16,Canal del CEP Gran Tarajal,https://www3.gobiernodecanarias.org/medusa/mediateca/cprofesgrantarajal
17,Canal del centro ADELA,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipadelasantana
19,Oficina Medusa,https://www3.gobiernodecanarias.org/medusa/mediateca/otrosoficinamedusadetenerife
21,Canal de la Red Canaria de Centros para la Participación Educativa ,https://www3.gobiernodecanarias.org/medusa/mediateca/rccpe
22,Canal de la Red Canaria de Escuelas Solidarias,https://www3.gobiernodecanarias.org/medusa/mediateca/rces
23,CEP LANZAROTE,https://www3.gobiernodecanarias.org/medusa/mediateca/cprofeslanzarote
24,CEPGCSUR,https://www3.gobiernodecanarias.org/medusa/mediateca/cprofesgrancanariasur
25,Canal de EVAGD,https://www3.gobiernodecanarias.org/medusa/mediateca/evagd
26,Canal Mediateca CEIP Ofra Vistabella,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipofravistabella
27,Canal de Informat,https://www3.gobiernodecanarias.org/medusa/mediateca/informat
28,CAU_CE,https://www3.gobiernodecanarias.org/medusa/mediateca/cau_ce
29,IES. San Juan de la Rambla TV ,https://www3.gobiernodecanarias.org/medusa/mediateca/iessanjuandelarambla
